country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Estonia|2021Q2|0.275925742142507|1.1244387504999744|63.5989010989011|70.90713997|70.22826735|1.330068|15.593406593406593|-10.197802197802197|-20.395604395604394|47.17175824175824|2.5286397
Estonia|2021Q3|0.06616203081346217|3.109592892994945|2.0380434782608696|70.90713997|70.22826735|1.330068|23.054347826086957|14.195652173913043|-17.77173913043478|26.12663043478261|0.83557899
Estonia|2021Q4|0.43230482202109094|4.013847712011422|0.0|70.90713997|70.22826735|1.3300867826086957|10.097826086956522|-4.543478260869565|-16.206521739130434|39.535|0.92319663
Finland|2020Q1|0.009230281404132125|0.0|8.791208791208792|80.24562972|81.21625946|5.525292|-1.5934065934065933|-6.021978021978022|-10.010989010989011|20.47263736263736|-0.11671457
Finland|2020Q2|0.04669436475031546|0.0|57.142857142857146|80.24562972|81.21625946|5.525292|-4.021978021978022|-29.483516483516482|-35.395604395604394|57.887252747252745|-6.11287453
Finland|2020Q3|0.003619718197698873|0.0|75.0|80.24562972|81.21625946|5.525292|2.260869565217391|-3.597826086956522|-26.48913043478261|34.22217391304348|4.8669032
Finland|2020Q4|0.0475981821791965|0.0|75.0|80.24562972|81.21625946|5.525384402173914|-1.8478260869565217|-15.76086956521739|-19.92391304347826|42.897608695652174|0.72449648
Finland|2021Q1|0.05240528512721744|0.0021811441085707395|75.0|80.24562972|81.21625946|5.533793|-5.722222222222222|-28.3|-22.61111111111111|52.31000000000001|-0.11958777
Finland|2021Q2|0.018432203734400614|0.017150984866980024|75.0|80.24562972|81.21625946|5.533793|11.802197802197803|-9.032967032967033|-19.75824175824176|51.02065934065934|1.52656971
Finland|2021Q3|0.024214855886369437|0.09975797793665211|75.0|80.24562972|81.21625946|5.533793|15.66304347826087|5.456521739130435|-22.92391304347826|38.45304347826087|0.90008845
Finland|2021Q4|0.10769436711906279|0.13932577528649878|75.0|80.24562972|81.21625946|5.533950043478261|3.010869565217391|-7.956521739130435|-22.92391304347826|30.600217391304344|0.7803368900000001
France|2020Q1|0.05227256534448703|0.0|17.582417582417584|78.80623971|70.03656263|67.454122|-6.835164835164835|-16.63736263736264|-14.604395604395604|25.40285714285714|-5.57271773
France|2020Q2|0.39019112872005063|0.0|90.10989010989012|78.80623971|70.03656263|67.454122|-20.12087912087912|-52.505494505494504|-42.637362637362635|78.1010989010989|-13.53607459
France|2020Q3|0.03160666741759681|0.0|75.0|78.80623971|70.03656263|67.454122|2.510869565217391|-9.0|-25.717391304347824|47.94836956521739|18.38184345
France|2020Q4|0.4859504448557079|0.0|52.44565217391305|78.80623971|70.03656263|67.45599454347825|-3.260869565217391|-34.27173913043478|-28.358695652173914|65.66489130434783|-0.87796624
France|2021Q1|0.45899237333304|0.0020883857244144727|50.0|78.80623971|70.03656263|67.626396|-4.7555555555555555|-41.51111111111111|-25.122222222222224|64.39488888888889|0.05779695
France|2021Q2|0.2286237462661769|0.01949578978007345|50.0|78.80623971|70.03656263|67.626396|11.142857142857142|-27.47252747252747|-22.604395604395606|62.18472527472528|1.03813468
France|2021Q3|0.0919019845446148|0.07152857887029793|41.84782608695652|78.80623971|70.03656263|67.626396|23.23913043478261|-1.1195652173913044|-21.847826086956523|59.369565217391305|3.34843119
France|2021Q4|0.10727288823419676|0.09458772600383203|25.0|78.80623971|70.03656263|67.62842860869566|17.467391304347824|-6.673913043478261|-17.543478260869566|72.22|0.5502664
Germany|2020Q1|0.0070090648969679484|0.0|6.593406593406593|81.79653719|72.38547748|83.178|-0.27472527472527475|-6.450549450549451|-7.329670329670329|20.34032967032967|-1.4508928600000002
Germany|2020Q2|0.10086801798552501|0.0|62.5|81.79653719|72.38547748|83.178|-6.164835164835165|-33.043956043956044|-27.307692307692307|67.30142857142856|-9.40921102
Germany|2020Q3|0.006191541032484551|0.0|37.5|81.79653719|72.38547748|83.178|2.4782608695652173|-4.293478260869565|-18.25|55.122173913043476|8.98010209
Germany|2020Q4|0.28352226071815345|0.0|36.41304347826087|81.79653719|72.38547748|83.17817391304348|-2.7934782608695654|-29.217391304347824|-21.956521739130434|64.31347826086957|0.60223688
Germany|2021Q1|0.5201216433877444|0.002076111258023415|37.5|81.79653719|72.38547748|83.194|-7.3|-50.32222222222222|-25.622222222222224|80.96622222222223|-1.5203344700000003
Germany|2021Q2|0.17468807846719717|0.017117340192802366|37.5|81.79653719|72.38547748|83.194|7.9010989010989015|-27.032967032967033|-17.703296703296704|72.59769230769231|2.03589348
Germany|2021Q3|0.033211529677620984|0.06085222492006635|37.5|81.79653719|72.38547748|83.194|20.043478260869566|1.5978260869565217|-13.456521739130435|61.3225|0.74704492
Germany|2021Q4|0.21980728272839384|0.07459976131926645|37.5|81.79653719|72.38547748|83.19498913043479|17.434782608695652|-7.967391304347826|-16.391304347826086|53.66402173913043|-0.04693073
Ghana|2020Q1|0.0001643771234647752|0.0|0.0|51.19611019|54.38782151|30.417858000000003|-3.4395604395604398|-4.274725274725275|-1.4505494505494505|11.682087912087912|1.59656162
Ghana|2020Q2|0.003517670442146189|0.0|46.7032967032967|51.19611019|54.38782151|30.417858000000003|-14.725274725274724|-26.63736263736264|-17.89010989010989|64.30681318681319|-1.34323544
Ghana|2020Q3|0.0062134552669685025|0.0|19.02173913043478|51.19611019|54.38782151|30.417858|9.608695652173912|-3.0543478260869565|-9.673913043478262|50.0604347826087|-0.82109519
Ghana|2020Q4|0.0011177644395604712|0.0|0.0|51.19611019|54.38782151|30.424978510869565|24.967391304347824|1.7065217391304348|-12.293478260869565|40.63945652173913|1.11163128
Ghana|2021Q1|0.013130393659178428|0.0|0.0|51.19611019|54.387821509999995|31.072945|28.177777777777777|0.6666666666666666|-13.166666666666666|42.480888888888884|0.95540352
Ghana|2021Q2|0.0017056638821971977|7.434119939387786e-05|0.0|51.19611019|54.38782151|31.072945|53.967032967032964|16.681318681318682|-5.857142857142857|44.70736263736264|0.9408755100000001
Ghana|2021Q3|0.011585641463980965|0.0001924503776516838|0.0|51.19611019|54.38782151|31.072945|65.21739130434783|26.184782608695652|-2.608695652173913|42.18782608695653|1.54692464
Ghana|2021Q4|0.004473344898592651|0.0010356276175302985|0.0|51.19611019|54.38782151|31.072945|71.6304347826087|33.56521739130435|-0.6195652173913043|42.09847826086956|1.81173352
Greece|2020Q1|0.0036282211442798425|0.0|4.8076923076923075|62.58073012|50.510048180000005|10.473452|-1.3846153846153846|-14.923076923076923|-10.10989010989011|19.321758241758243|-2.09258712
